User,Time,Errors,Interface
1,12.24,0,Manual
2,14.03,0,Manual
3,9.69,0,Manual
4,10.31,0,Manual
1,6.37,0,PicoloExtension
2,7.45,0,PicoloExtension
3,7.03,0,PicoloExtension
4,8.1,0,PicoloExtension
1,9.63,0,PicoloDesk
2,10.4,0,PicoloDesk
3,9.17,0,PicoloDesk
4,9.29,0,PicoloDesk
