User,Time,Errors,Interface
1,26.28,0,Manual
2,27.4,2,Manual
3,31.09,0.5,Manual
4,25.11,3,Manual
1,6.7,0,PicoloExtension
2,7.12,0,PicoloExtension
3,7.67,0,PicoloExtension
4,8.63,0,PicoloExtension
1,12.86,0,PicoloDesk
2,11.3,0,PicoloDesk
3,13.27,0,PicoloDesk
4,10.79,0.2,PicoloDesk
